drug_name,rule_type
"Dextromethorphan + ambroxol + guaifenesin + phenylephrine + chlorpheniramine","BANNED_FDC"
"Cetirizine + Phenylephrine + Dextromethorphan + Menthol","BANNED_FDC"
"Roxithromycin + Serratiopeptidase","BANNED_FDC"
"Paracetamol + Phenylephrine + Triprolidine","BANNED_FDC"
"Acetaminophen + Loratadine + ambroxol + Phenylephrine","BANNED_FDC"
"Cetirizine + Acetaminophen + Dextromethorphan + Phenyephrine + Zinc gluconate","BANNED_FDC"
"Diphenhydramine + Guaifenesin + Bromhexine + Ammonium Chloride + Menthol","BANNED_FDC"
"Chlopheniramine Maleate + Codeine syrup","BANNED_FDC"
"Cetirizine + Dextromethorphan + Zinc Gluconate + Menthol","BANNED_FDC"
"Paracetamol + Phenylephrine + Desloratadine + Zinc Gluconate + Ambroxol","BANNED_FDC"
"Levocetirizine + montelukast + acebrophylline","BANNED_FDC"
"Dextromethorphan + phenylephrine + ammonium chloride + menthol","BANNED_FDC"
"Dextromethorphan + bromhexine + Guaiphenesin + menthol + Paracetamol + Caffeine + Phenylephrine","BANNED_FDC"
"Naphazoline + carboxy Methyl cellulose + Menthol + Camphor + Phenylephrine","BANNED_FDC"
"Acrivastine","BANNED_FDC"
"Dextromethorphan + Cetirizine","BANNED_FDC"
"Nimesulide + paracetamol + levocetirizine + phenylephrine + caffeine","BANNED_FDC"
"Terbutaline + Ambroxol + Guaiphenesin + Zinc + Menthol","BANNED_FDC"
"Codeine + Chlorpheniramine + Alcohol syrup","BANNED_FDC"
"Dextromethorphan + Phenylephrine + Guaifenesin + Triprolidine","BANNED_FDC"
"AmmomiumChloride + Bromhexine + Dextromethorphan","BANNED_FDC"
"Diethylcarbamazine + Cetirizine + Ambroxol","BANNED_FDC"
"Ethylmorphine + Noscapine + Chlorpheniramine Maleate","BANNED_FDC"
"Cetirizine + Dextromethorphan + Ambroxol","BANNED_FDC"
"Bromhexine + Dextromethorphan + Ammonium Chloride + Menthol","BANNED_FDC"
"Ambroxol + Guaifenesin + Phenylephrine + Chlorpheniramine","BANNED_FDC"
"Paracetamol + Phenylephrine + Chlorpheniramine + Zinc Gluconate","BANNED_FDC"
"Dextromethorphan + Cetirizine + Phenylephrine + Paracetamol + Caffeine","BANNED_FDC"
"Dextromethophan + Chlorpheniramine + Guaifenesin + Ammonium Chloride","BANNED_FDC"
"Levocetirizine + Dextromethorphan + Zinc","BANNED_FDC"
"Paracetamol + Phenylephrine + Levocetirizine + Caffeine","BANNED_FDC"
"Chlorpheniramine + Ammonium Chloride + Sodium Chloride","BANNED_FDC"
"Paracetamol + Dextromethorphan + Bromhexine + Phenylephrine + Diphenhydramine","BANNED_FDC"
"Salbutamol + Bromhexine + Guaiphenesin + Menthol","BANNED_FDC"
"Chlorpheniramine + Ammonium Chloride + Noscapine + Sodium Citrate","BANNED_FDC"
"Cetirizine + Dextromethorphan + Bromhexine + Guaifenesin","BANNED_FDC"
"Diethyl Carbamazine + Chlorpheniramine + Guaifenesin","BANNED_FDC"
